Video,StartFrame,TakeoffFrame,FlightStartFrame,FlightEndFrame,EntryFrame,LastFrame
BROWN_DIVE103B.mp4,0,81,82,146,147,162
BROWN_DIVE105B.mp4,0,118,119,100,101,139
BROWN_DIVE201B.mp4,0,307,308,305,306,322
BROWN_DIVE301B.mp4,0,114,115,134,135,151
BROWN_DIVE403B.mp4,0,209,210,206,207,240
FUNG_DIVE103B.mp4,0,147,148,145,146,153
FUNG_DIVE105B.mp4,0,41,42,73,74,75
FUNG_DIVE201B.mp4,0,385,386,363,364,403
FUNG_DIVE301B.mp4,0,229,230,227,228,246
FUNG_DIVE403B.mp4,0,111,112,117,118,131
HUBERT_DIVE103B.mp4,0,82,83,80,81,83
HUBERT_DIVE105B.mp4,0,102,103,137,138,147
HUBERT_DIVE301B.mp4,0,150,151,150,151,155
HUBERT_DIVE403B.mp4,0,218,219,215,216,219
MONROY_DIVE103B.mp4,0,105,106,99,100,106
MONROY_DIVE105B.mp4,0,150,151,146,147,157
MONROY_DIVE201B.mp4,0,415,416,422,423,424
MONROY_DIVE301B.mp4,0,157,158,160,161,210
MONROY_DIVE403B.mp4,0,319,320,314,315,328
PALKHIVALA_DIVE103B.mp4,0,138,139,135,136,147
PALKHIVALA_DIVE105B.mp4,0,100,101,100,101,128
PALKHIVALA_DIVE201B.mp4,0,261,262,207,208,273
PALKHIVALA_DIVE301B.mp4,0,137,138,138,139,142
PALKHIVALA_DIVE403B.mp4,0,128,129,125,126,185
